Country,Year,MonthCode,Month,Name of distribution company,Name of major city,Additional Info,Number of EV Charging Stations excluding Heavy Duty Vehicles charging stations (including EV charging points) (UOM:Number) |Scaling Factor:1,Number of PCS specific to Heavy Duty Vehicles (E-bus etc.) (UOM:Number) |Scaling Factor:1,Electricity consumed in Electric Vehicle (EV) charging stations excluding heavy duty vehicles Public Charging Station (PCS) (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Electricity consumed in heavy duty Public Charging Station (PCS) only (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Total electricity consumed of Electric Vehicle (EV) charging stations (UOM:MU(Megaunit)) |Scaling Factor:1
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","TPCODL, Orissa","Bhubaneswar, Puri, Khordha & Paradeep",,,0,3590,0,0.004
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","TANGEDCO, TN","Coimbatore, Villupuram, Tirunelveli, Chennai North, Vellore",,139,0,597914,0,0.598
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","SBPDCL, Bihar",Patna,,318,2,361730,205446,0.567
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","SBPDCL, Bihar","Bhubaneswar, Puri, Khordha & Paradeep",,,0,3590,0,0.000
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","PGVCL, Guj.","Rajkot, Surendranagar , Junagadh, Jamnagar, Morbi, Botad",,35,3,47756,468337,0.516
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","PGVCL, Guj.","Rajkot, Surendranaga r, Junagadh, Jamnagar, Morbi, Botad",,35,3,47756,468337,0.516
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","Noida Power Company Ltd. (NPCL), UP",Greater Noida,,4,0,2553,0,0.003
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","NBPDCL, Bihar",Patna,,224,0,28350,0,0.028
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","MSEDCL, Mah.","Navi Mumbai, Pune, Thane, Nagpur",,2782,17,627737,8190369,8.818
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","MPMKVVCL, MP","Bhopal City, Gwalior City, Betul, Guna, Harda, Itarsi, Narmadapura m, Bareli, Raisen, Narsinghgarh, Zeerapur, Ashta, Vidisha",,96,1,24713,208212,0.233
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","MESCOM, Kar.","Mangaluru, Udupi, Shivamogga, Chikkamagalur u",,69,2,9522,77730,0.087
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","MESCOM, Kar.","Mangaluru, Udupi, Shivamogga, Chikkamagal uru",,69,2,9522,77730,0.087
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","LPDCL, UT of Ladakh",Chandigarh,,,7,80946,670686,0.000
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","APEPDCL, AP","Visakhapatna m, Rajmahendra varam, West Godavari, Srikakulam, Vizianagaram",,70,0,22216,0,0.022
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",UT Chandigarh,Chandigarh,,23,7,80946,670686,0.752
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","UHBVN, Haryana","Panchkula, Karnal, Kaithal, Sonipat, Ambala, Kurukshetra",,15,0,13558,0,0.014
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","UGVCL, Guj.","Surat City, Navsari, Vapi- Town, Haldarva, Bharuch East, Kavadiya Colony",,53,13,48121,1615706,1.664
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","UGVCL, Guj.","Hebatpur, Bavla (Ramnagar), FEDRA, Dholasan, Asal, Modasa, Majadar, Nugar, Rangpur",,29,0,19668,0,0.020
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","UGVCL, Guj.","Hebatpur, Bavla (Ramnagar), FEDRA, Dholasan, Asal, Modasa, Majadar, Nugar,",,29,0,19668,0,0.020
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","Torrent Power, Guj.",Ahemdabad,,30,8,15148,1700572,1.716
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","Tata Power-DDL, Delhi",New Delhi,,639,5,3220000,810000,4.030
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","Tata Power- DDL, Delhi",New Delhi,,639,5,3220000,810000,4.030
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","TSSPDCL, Tng.",Hyderabad,,,9,90000,320000,0.000
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","TSNPDCL, Tng.","Coimbatore, Villupuram, Tirunelveli, Chennai North, Vellore",,138,0,690454,0,0.690
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","TSNPDCL, Tng.","Adilabad, Hanamkonda, Kamareddy, Karimnagar, Khammam, Mahabubaba d, Nirmal, Nazimabad, Pdeapally, Warangal",,33,0,11429,0,0.011
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","TPCODL, Orissa","Bhubaneswar, Puri, Khordha & Paradeep",,17,0,3590,0,0.004
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","TANGEDCO, TN","Coimbatore, Villupuram, Tirunelveli, Chennai North, Vellore",,138,0,690454,0,0.690
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","SBPDCL, Bihar",Patna,,263,2,276586,218701,0.495
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","SBPDCL, Bihar","Bhubaneswar, Puri, Khordha & Paradeep",,17,0,3590,0,0.004
India,"Financial Year (Apr - Mar), 2023",202306,"September, 2023","PGVCL, Guj.","Rajkot, Surendranagar , Junagadh, Jamnagar, Morbi, Botad",,25,3,61807,469488,0.531
