Country,financial_year,calendar_year,calendar_month,DISCOM,State,city,ev_stations,hd_stations,ev_kwh,hd_kwh,total_mu
India,2023-24,2023,8,BESCOM,KAR,"bangalore, davangere, chitradurga, tumkuru, kolar",288,0,235992,0,0.236
India,2023-24,2023,8,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",70,0,38473,0,0.038
India,2023-24,2023,8,APSPDCL,AP,"anantpur, kadapa, kurnool, nellore, tirupati",30,8,11272,976561,0.988
India,2023-24,2023,8,TSSPDCL,TNG,hyderabad,106,9,90000,320000,0.41
India,2023-24,2023,8,TSNPDCL,TNG,"adilabad, hanamkonda, kamareddy, karimnagar, khammam, mahabubabad, nirmal, nazimabad, pdeapally, warangal",33,0,8714,0,0.009
India,2022-23,2022,12,SBPDCL,BIHAR,patna,43,0,2042,0,0.002
India,2022-23,2022,12,Tata Power-DDL,DELHI,new delhi,590,2,2810000,930000,3.74
India,2022-23,2022,12,Noida Power Company Ltd. (NPCL),UP,greater noida,1,0,1643,0,0.002
India,2022-23,2022,12,APSPDCL,AP,"anantpur, kadapa, kurnool, nellore, tirupati",23,7,3374,100200,0.104
India,2022-23,2022,12,MSEDCL,MAH,"navi mumbai, pune, thane, nagpur",2583,13,173818,6071647,6.245
India,2022-23,2022,12,BYPL,DELHI,new delhi,991,2,2059982,498330,2.558
India,2022-23,2022,12,KSEB,KER,"thiruvananthapuram, ernakulam, kozhikode",117,4,42403,41428,0.084
India,2022-23,2022,12,TSNPDCL,TNG,"adilabad, hanamkonda, kamareddy, karimnagar, khammam, mahabubabad, nirmal, nazimabad, pdeapally, warangal",20,0,3329,0,0.003
India,2022-23,2022,12,PGVCL,GUJ,"rajkot, surendranagar, junagadh, jamnagar, morbi, botad",11,3,20125,267965,0.288
India,2022-23,2022,12,Brihan Mumbai Electric Supply Company (BEST),MAH,mumbai (best),14,10,33360,1510237,1.544
India,2022-23,2022,12,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",50,0,10522,0,0.011
India,2022-23,2022,12,Torrent Power,GUJ,ahemdabad,10,6,6544,1505784,1.512
India,2022-23,2022,12,TSSPDCL,TNG,hyderabad,36,5,30221,21393,0.052
India,2022-23,2022,12,APDCL,ASSAM,"badarpur, karimganj, kokrajhar, nagaon, silchar, guwahati, tezpur",44,3,92583,26569,0.119
India,2022-23,2022,12,UGVCL,GUJ,"hebatpur, bavla(ramnagar), fedra, dholasan, asal, modasa, majadar, nugar, rangpur",10,0,2036,0,0.002
India,2022-23,2022,12,HESCOM,KAR,,2,0,2492,0,0.00249
India,2022-23,2022,12,AVVNL,RAJ,ajmer,16,0,28843,0,0.029
India,2022-23,2022,12,NBPDCL,BIHAR,patna,43,0,2042,0,0.002
India,2022-23,2022,12,UHBVN,HARYANA,"panchkula, karnal, kaithal, sonipat",8,0,12014,0,0.012
India,2022-23,2022,12,BRPL,DELHI,new delhi,1505,1,3624266,673740,4.298
India,2022-23,2022,12,CESC,WB,kolkata,5,11,300,216031,0.216
India,2022-23,2022,12,MESCOM,KAR,"mangaluru, udupi, shivamogga, chikkamagaluru",63,0,3922,0,0.004
India,2022-23,2022,12,CESC Mysore,KAR,"mysore, mandya, hassan, kodagu",17,0,1172,0,0.001
India,2023-24,2023,2,HESCOM,KAR,,4,0,2713,0,0.00271
India,2023-24,2023,2,Tata Power-DDL,DELHI,new delhi,606,2,3780000,1110000,4.89
India,2023-24,2023,2,BRPL,DELHI,new delhi,1582,1,3754031,940140,4.694
India,2023-24,2023,2,BYPL,DELHI,new delhi,997,2,1949546,619860,2.569
India,2023-24,2023,2,Noida Power Company Ltd. (NPCL),UP,greater noida,1,0,177,0,0
India,2023-24,2023,2,AVVNL,RAJ,ajmer,22,0,8699,0,0.009
India,2023-24,2023,2,UHBVN,HARYANA,"panchkula, karnal, kaithal, sonipat",8,0,6185,0,0.006
India,2023-24,2023,2,MSEDCL,MAH,"navi mumbai, pune, thane, nagpur",2583,17,270048,5562424,5.832
India,2023-24,2023,2,Brihan Mumbai Electric Supply Company (BEST),MAH,mumbai (best),18,10,43144,1552737,1.596
India,2023-24,2023,2,UGVCL,GUJ,"hebatpur, bavla(ramnagar), fedra, dholasan, asal, modasa, majadar, nugar, rangpur",14,0,3717,0,0.004
India,2023-24,2023,2,PGVCL,GUJ,"rajkot, surendranagar, junagadh, jamnagar, morbi, botad",11,3,14522,373544,0.388
