Country,financial_year,calendar_year,calendar_month,DISCOM,State,city,ev_stations,hd_stations,ev_kwh,hd_kwh,total_mu
India,2022-23,2022,7,TANGEDCO,TN,"coimbatore, villupuram, tirunelveli, chennai north, vellore",34,0,62274,0,0.062
India,2022-23,2022,7,MESCOM,KAR,"mangaluru, udupi, shivamogga, chikkamagaluru",1,0,480,0,0
India,2022-23,2022,7,UHBVN,HARYANA,"panchkula, karnal, kaithal, sonipat",6,0,818,0,0.001
India,2022-23,2022,7,CESC,WB,kolkata,5,11,320,282481,0.283
India,2022-23,2022,7,KSEB,KER,"thiruvananthapuram, ernakulam, kozhikode",18,1,20427,114,0.021
India,2022-23,2022,7,DVC,JHARKHAND,"maithon, dhanbad",1,0,0,0,0
India,2022-23,2022,7,APEPDCL,AP,"visakhapatnam, rajmahendravaram, west godavari, srikakulam, vizianagaram",34,0,5923,0,0.006
India,2022-23,2022,7,APSPDCL,AP,"anantpur, kadapa, kurnool, nellore, tirupati",11,0,613,0,0.001
India,2022-23,2022,7,BRPL,DELHI,new delhi,1254,1,3257340,544020,3.801
India,2022-23,2022,7,UGVCL,GUJ,"hebatpur, bavla(ramnagar), fedra, dholasan, asal, modasa, majadar, nugar, rangpur",5,0,2818,0,0.003
India,2022-23,2022,7,DGVCL,GUJ,"surat city, navsari, vapi-town, haldarva, bharuch east, kavadiya colony",7,1,14179,360580,0.375
India,2022-23,2022,7,Tata Power-DDL,DELHI,new delhi,535,2,2170000,1020000,3.19
India,2022-23,2022,7,TSNPDCL,TNG,"adilabad, hanamkonda, kamareddy, karimnagar, khammam, mahabubabad, nirmal, nazimabad, pdeapally, warangal",1,0,472,0,0
India,2022-23,2022,7,BYPL,DELHI,new delhi,982,1,1625587,267930,1.894
India,2022-23,2022,7,Noida Power Company Ltd. (NPCL),UP,greater noida,0,0,0,0,0
India,2022-23,2022,7,TSSPDCL,TNG,hyderabad,22,1,10911,270,0.011
India,2023-24,2023,7,SBPDCL,BIHAR,patna,,,,,0
